Utility Level Data - States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility Characteristics,,,,,,Photovoltaic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wind,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,All Technologies,,,,,,,,,,,,,,
,,,,,,Capacity MW,,,,,,Customers,,,,,Storage Capacity (MW),,,,,Storage Customers,,,,,Virtual Capacity (MW),,,,,Virtual Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,,Capacity MW,,,,,Customers,,,,,Energy Sold Back MWh,,,,
Year,Month,State,Utility Number,Utility Name,Data Status,Type,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2020,1,CA,14328,Pacific Gas & Electric Co.,Preliminary,AC,"2,546.075",937.827,835.024,0.000,"4,318.926","454,852","10,913","3,738",0,"469,503",54.559,7.915,37.274,0.000,99.748,"8,238",65,85,0,"8,388",16.200,16.145,0.138,0.000,32.483,"5,133","1,269",4,0,"6,406",0.000,0.000,0.000,0.000,0.000,0.991,0.628,17.198,0.000,18.817,178,37,40,0,255,0.000,0.000,0.000,0.000,0.000,0.114,8.116,149.851,0.000,158.081,16,33,240,0,289,0.000,0.000,0.000,0.000,0.000,"2,563.380",962.716,"1,002.211",0.000,"4,528.307","460,179","12,252","4,022",0,"476,453",0.000,0.000,0.000,0.000,0.000
2020,1,CA,14354,PacifiCorp,Preliminary,DC,3.808,2.684,1.988,0.000,8.480,478,51,18,0,547,0.015,0.000,0.000,0.000,0.015,3,0,0,0,3,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.001,0.005,0.000,0.000,0.006,1,2,0,0,3,.,.,.,.,0.000,0.011,0.066,0.000,0.000,0.077,2,1,0,0,3,.,.,.,.,0.000,3.820,2.755,1.988,0.000,8.563,481,54,18,0,553,0.000,0.000,0.000,0.000,0.000
2020,1,CA,14534,City of Pasadena - (CA),Preliminary,AC,6.391,4.090,.,.,10.481,"1,412",69,.,.,"1,481",.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,201.256,66.180,.,.,267.436,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,6.391,4.090,NM,0.000,10.481,"1,412",69,0,0,"1,481",201.256,66.180,0.000,0.000,267.436
2020,1,CA,16534,Sacramento Municipal Util Dist,Preliminary,AC,126.518,52.994,31.178,0.000,210.690,"28,844",479,47,0,"29,370",1.320,0.036,0.500,0.000,1.856,218,1,1,0,220,0.671,0.348,0.000,0.000,1.019,560,43,0,0,603,.,.,.,.,0.000,0.002,0.000,0.005,.,0.007,1,0,1,.,2,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,127.191,53.342,31.183,0.000,211.716,"29,405",522,48,0,"29,975",0.000,0.000,0.000,0.000,0.000
2020,1,CA,16609,San Diego Gas & Electric Co,Preliminary,AC,954.160,190.470,80.890,0.000,"1,225.520","177,267","4,030",107,0,"181,404",29.100,8.810,1.000,0.000,38.910,"5,156",87,1,0,"5,244",10.560,3.820,2.080,0.000,16.460,340,46,3,0,389,2.910,1.470,0.350,0.000,4.730,0.120,0.020,1.000,0.000,1.140,37,4,1,0,42,0.000,0.000,0.000,0.000,0.000,0.030,13.630,12.800,0.000,26.460,3,52,18,0,73,0.000,0.000,0.000,0.000,0.000,964.870,207.940,96.770,0.000,"1,269.580","177,647","4,132",129,0,"181,908",2.910,1.470,0.350,0.000,4.730
2020,1,CA,16655,City of Santa Clara - (CA),Preliminary,AC,1.043,0.793,.,.,1.836,257,9,.,.,266,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,1.043,0.793,NM,0.000,1.836,257,9,0,0,266,0.000,0.000,0.000,0.000,0.000
2020,1,CA,17609,Southern California Edison Co,Preliminary,AC,"1,839.586",689.912,219.870,.,"2,749.368","335,829","6,198",476,.,"342,503",39.715,28.406,1.895,.,70.016,"6,625",206,7,.,"6,838",7.154,16.727,.,.,23.881,82,736,.,.,818,.,.,.,.,0.000,2.069,4.955,3.150,.,10.174,241,15,6,.,262,.,.,.,.,0.000,0.864,42.056,34.166,.,77.086,93,124,48,.,265,.,.,.,.,0.000,"1,849.673",753.650,257.186,0.000,"2,860.509","336,245","7,073",530,0,"343,848",0.000,0.000,0.000,0.000,0.000
2020,1,CA,17612,Bear Valley Electric Service,Preliminary,AC,1.829,1.714,0.000,0.000,3.543,416,24,0,0,440,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.069,0.010,0.000,0.000,0.079,6,1,0,0,7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,1.898,1.724,NM,0.000,3.622,422,25,0,0,447,0.000,0.000,0.000,0.000,0.000
2020,1,CA,18260,Surprise Valley Electrification,Preliminary,AC,0.019,0.025,.,.,0.044,2,2,.,.,4,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,0.019,0.025,NM,0.000,0.044,2,2,0,0,4,0.000,0.000,0.000,0.000,0.000
2020,1,CA,19281,Turlock Irrigation District,Preliminary,AC,12.640,10.407,15.099,.,38.146,"2,037",63,94,.,"2,194",.,.,.,.,0.000,.,.,.,.,0,0.063,.,3.189,.,3.252,3,.,8,.,11,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,.,.,.,.,0.000,.,.,.,.,0,.,.,.,.,0.000,12.703,10.407,18.288,0.000,41.398,"2,040",63,102,0,"2,205",0.000,0.000,0.000,0.000,0.000
2020,1,CA,99999,Adjustment 2020,Preliminary,,109.612,89.182,2.680,0.000,201.474,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,109.612,89.182,2.680,0.000,201.474,.,.,.,.,.,.,.,.,.,.
2020,1,CO,3989,City of Colorado Springs - (CO),Preliminary,AC,12.787,5.318,0.000,0.000,18.105,"2,750",638,0,0,"3,388",0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.731,3.149,0.000,0.000,3.880,420,64,0,0,484,0.000,0.000,0.000,0.000,0.000,0.002,0.006,0.000,0.000,0.008,1,1,0,0,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,13.520,8.473,NM,0.000,21.993,"3,171",703,0,0,"3,874",0.000,0.000,0.000,0.000,0.000
